ENTITY,RECOVERY_DAYS
Algeria,1
Wales,17
Finland,17
France,21
Scotland,25
Sweden,28
Bolivia,36
Denmark,38
Italy,39
Netherlands,114
South Africa,148
Israel,150
United States,181
Spain,183
Switzerland,232
Austria,238
Belgium,248
Serbia,285
Germany,289
Luxembourg,293
United Kingdom,297
England,297
Romania,301
Latvia,301
Malta,315
Northern Ireland,318
Portugal,328
Argentina,348
Slovakia,356
Bulgaria,357
Czechia,380
Chile,391
Canada,395
Japan,482
Malaysia,504
Cyprus,517
Lithuania,577
Slovenia,626
Australia,658
South Korea,733
