ENTITY,DAY,ICU_TODAY,ICU_PREVIOUS,PERCENT_CHANGE,SURGE_STATUS,SURGE_COUNT
Algeria,2020-07-17,1.381,,,NORMAL,16
Algeria,2020-07-18,1.492,1.381,8.037653900,NORMAL,16
Algeria,2020-07-20,1.425,1.492,-4.490616600,NORMAL,16
Algeria,2020-07-21,1.247,1.425,-12.491228100,NORMAL,16
Algeria,2020-07-22,1.136,1.247,-8.901363300,NORMAL,16
Algeria,2020-07-23,1.470,1.136,29.401408500,NORMAL,16
Algeria,2020-07-25,1.403,1.470,-4.557823100,NORMAL,16
Algeria,2020-07-26,1.425,1.403,1.568068400,NORMAL,16
Algeria,2020-07-27,1.292,1.425,-9.333333300,NORMAL,16
Algeria,2020-07-31,1.448,1.292,12.074303400,NORMAL,16
Algeria,2020-08-01,1.425,1.448,-1.588397800,NORMAL,16
Algeria,2020-08-02,1.203,1.425,-15.578947400,NORMAL,16
Algeria,2020-08-04,1.203,1.203,0.000000000,NORMAL,16
Algeria,2020-08-05,1.225,1.203,1.828761400,NORMAL,16
Algeria,2020-08-06,1.403,1.225,14.530612200,NORMAL,16
Algeria,2020-08-09,1.269,1.403,-9.550962200,NORMAL,16
Algeria,2020-08-10,1.047,1.269,-17.494089800,NORMAL,16
Algeria,2020-08-12,1.180,1.047,12.702960800,NORMAL,16
Algeria,2020-08-13,0.980,1.180,-16.949152500,NORMAL,16
Algeria,2020-08-14,1.024,0.980,4.489795900,NORMAL,16
Algeria,2020-08-15,0.824,1.024,-19.531250000,NORMAL,16
Algeria,2020-08-16,0.891,0.824,8.131068000,NORMAL,16
Algeria,2020-08-17,0.891,0.891,0.000000000,NORMAL,16
Algeria,2020-08-18,1.024,0.891,14.927048300,NORMAL,16
Algeria,2020-08-19,0.980,1.024,-4.296875000,NORMAL,16
Algeria,2020-08-20,0.913,0.980,-6.836734700,NORMAL,16
Algeria,2020-08-21,0.913,0.913,0.000000000,NORMAL,16
Algeria,2020-08-22,1.091,0.913,19.496166500,NORMAL,16
Algeria,2020-08-23,0.913,1.091,-16.315307100,NORMAL,16
Algeria,2020-08-24,0.824,0.913,-9.748083200,NORMAL,16
Algeria,2020-08-25,0.690,0.824,-16.262135900,NORMAL,16
Algeria,2020-08-26,0.624,0.690,-9.565217400,NORMAL,16
Algeria,2020-08-27,0.624,0.624,0.000000000,NORMAL,16
Algeria,2020-08-28,0.690,0.624,10.576923100,NORMAL,16
Algeria,2020-08-29,0.624,0.690,-9.565217400,NORMAL,16
Algeria,2020-08-30,0.646,0.624,3.525641000,NORMAL,16
Algeria,2020-08-31,0.646,0.646,0.000000000,NORMAL,16
Algeria,2020-09-01,0.846,0.646,30.959752300,NORMAL,16
Algeria,2020-09-02,0.779,0.846,-7.919621700,NORMAL,16
Algeria,2020-09-03,0.980,0.779,25.802310700,NORMAL,16
Algeria,2020-09-04,0.935,0.980,-4.591836700,NORMAL,16
Algeria,2020-09-05,0.935,0.935,0.000000000,NORMAL,16
Algeria,2020-09-06,0.980,0.935,4.812834200,NORMAL,16
Algeria,2020-09-07,0.958,0.980,-2.244898000,NORMAL,16
Algeria,2020-09-08,0.779,0.958,-18.684759900,NORMAL,16
Algeria,2020-09-09,0.891,0.779,14.377406900,NORMAL,16
Algeria,2020-09-10,0.869,0.891,-2.469135800,NORMAL,16
Algeria,2020-09-11,0.713,0.869,-17.951668600,NORMAL,16
Algeria,2020-09-12,0.802,0.713,12.482468400,NORMAL,16
Algeria,2020-09-13,0.646,0.802,-19.451371600,NORMAL,16
Algeria,2020-09-14,0.601,0.646,-6.965944300,NORMAL,16
Algeria,2020-09-15,0.690,0.601,14.808652200,NORMAL,16
Algeria,2020-09-16,0.690,0.690,0.000000000,NORMAL,16
Algeria,2020-09-17,0.713,0.690,3.333333300,NORMAL,16
Algeria,2020-09-18,0.601,0.713,-15.708274900,NORMAL,16
Algeria,2020-09-19,0.713,0.601,18.635607300,NORMAL,16
Algeria,2020-09-20,0.690,0.713,-3.225806500,NORMAL,16
Algeria,2020-09-21,0.646,0.690,-6.376811600,NORMAL,16
Algeria,2020-09-22,0.757,0.646,17.182662500,NORMAL,16
Algeria,2020-09-23,0.557,0.757,-26.420079300,NORMAL,16
Algeria,2020-09-24,0.601,0.557,7.899461400,NORMAL,16
Algeria,2020-09-25,0.557,0.601,-7.321131400,NORMAL,16
Algeria,2020-09-26,0.557,0.557,0.000000000,NORMAL,16
Algeria,2020-09-27,0.490,0.557,-12.028725300,NORMAL,16
Algeria,2020-09-28,0.557,0.490,13.673469400,NORMAL,16
Algeria,2020-09-29,0.512,0.557,-8.078994600,NORMAL,16
Algeria,2020-09-30,0.512,0.512,0.000000000,NORMAL,16
Algeria,2020-10-01,0.512,0.512,0.000000000,NORMAL,16
Algeria,2020-10-02,0.512,0.512,0.000000000,NORMAL,16
Algeria,2020-10-03,0.557,0.512,8.789062500,NORMAL,16
Algeria,2020-10-04,0.468,0.557,-15.978456000,NORMAL,16
