PEAK_TIME,GLOBAL_ICU_BURDEN
2021-01-17,1598.105
2021-01-24,1589.978
2021-04-18,1579.049
2021-04-11,1571.600
2021-04-25,1551.632
2021-01-10,1551.083
2021-01-31,1536.488
2021-04-04,1491.095
2021-02-07,1474.947
2021-05-02,1466.747
2021-03-21,1419.947
2021-03-28,1393.775
2021-01-25,1389.264
2021-01-20,1387.276
2021-01-22,1385.091
2021-01-21,1383.636
2021-01-03,1383.004
2021-03-14,1382.669
2021-01-18,1381.554
2021-01-19,1379.756
2021-01-27,1377.966
2021-01-26,1373.748
2021-01-23,1371.470
2021-01-13,1369.434
2021-02-14,1364.954
2021-01-14,1362.119
2021-01-15,1362.098
2021-01-16,1360.126
2021-01-28,1357.950
2021-01-29,1352.382
2021-01-12,1346.475
2021-01-11,1345.973
2021-02-01,1345.573
2021-02-03,1339.692
2021-01-30,1336.847
2021-02-21,1336.606
2021-02-02,1335.359
2021-02-28,1333.383
2021-03-07,1329.980
2021-02-04,1313.870
2021-04-21,1309.944
2021-04-19,1307.564
2021-04-20,1306.393
2021-04-14,1305.976
2021-02-05,1301.679
2021-05-09,1300.945
2021-04-13,1300.614
2021-01-08,1299.442
2021-12-05,1298.959
2021-01-09,1298.324
2020-11-22,1297.182
2021-01-06,1295.741
2021-04-12,1291.454
2021-04-07,1291.281
2021-01-07,1289.966
2021-04-15,1286.919
2021-04-22,1286.845
2021-04-06,1285.676
2021-02-06,1282.657
2021-04-08,1282.099
2021-04-16,1281.521
2021-01-05,1280.130
2021-04-17,1280.030
2021-01-04,1279.448
2021-04-26,1276.767
2021-04-23,1275.782
2021-04-09,1275.541
2021-02-08,1273.957
2021-04-28,1273.240
2021-04-27,1272.774
2021-04-10,1272.643
2020-11-15,1267.847
2021-04-05,1263.756
2021-04-24,1262.159
2021-02-10,1259.881
2021-02-09,1258.963
2021-12-12,1254.312
2020-12-27,1250.396
2021-04-29,1245.765
2020-11-23,1243.852
2020-11-29,1243.441
2021-11-28,1242.172
2020-11-18,1241.343
2021-02-11,1239.379
2021-04-03,1237.591
2021-04-30,1233.422
2021-03-31,1231.932
2021-04-02,1230.527
2020-12-13,1229.808
2021-01-02,1229.737
2020-11-19,1228.818
2021-04-01,1227.250
2020-11-24,1220.099
2021-02-17,1219.895
2021-02-12,1219.749
2021-03-30,1217.942
2021-03-29,1217.196
2021-05-01,1216.035
2020-12-20,1213.721
2021-05-03,1210.291
2020-11-17,1204.333
2021-02-15,1204.045
2020-12-06,1203.974
2021-02-13,1202.289
2020-11-13,1201.389
2021-11-21,1199.586
2020-11-16,1197.393
2021-03-24,1193.811
2020-12-30,1191.725
2021-03-25,1191.320
2021-03-26,1189.867
2021-02-16,1189.144
2021-02-19,1185.098
2021-05-04,1184.003
2020-11-21,1183.394
2020-11-14,1181.327
2020-11-25,1181.279
2021-03-22,1181.211
2021-03-23,1180.768
2020-11-20,1179.604
2020-11-12,1178.935
2021-05-05,1174.873
2020-11-08,1174.317
2020-11-26,1174.182
2021-02-22,1172.623
2020-12-29,1171.286
2021-03-16,1169.442
2021-03-15,1165.396
2020-12-28,1164.106
2021-02-20,1163.653
2021-03-17,1161.081
2021-02-23,1160.438
2021-03-27,1158.965
2021-05-16,1156.908
2020-11-27,1156.674
2021-12-19,1156.056
2021-02-24,1155.634
2021-03-10,1152.226
2021-03-11,1151.528
2021-03-08,1148.618
2020-11-11,1147.948
2020-11-30,1146.893
2021-03-18,1146.537
2021-01-01,1145.754
2021-03-19,1145.684
2021-03-20,1144.830
2020-11-09,1143.751
2021-03-09,1142.306
2020-11-28,1140.935
2021-03-12,1140.918
2021-05-06,1140.630
2021-03-01,1138.216
2020-11-10,1137.534
2021-03-03,1136.358
2021-02-25,1134.418
2021-11-14,1134.252
2021-03-04,1130.892
2020-12-01,1130.130
2021-03-13,1128.988
2020-12-02,1126.884
2021-02-26,1126.158
2021-05-07,1121.933
2021-02-18,1121.894
2020-12-16,1117.628
2020-12-26,1115.414
2020-12-31,1115.145
2020-12-23,1114.776
2021-05-08,1113.546
2020-12-22,1112.542
2020-12-03,1110.515
2020-12-14,1109.781
2020-12-21,1109.026
2020-12-15,1105.510
2020-12-17,1102.657
2020-12-09,1102.585
2020-12-04,1101.428
2021-03-05,1098.897
2020-12-10,1094.508
2020-12-11,1093.491
2020-12-07,1091.125
2020-12-18,1088.251
2020-12-08,1087.321
2021-03-06,1085.173
2021-05-23,1085.167
2020-12-05,1082.023
2020-12-12,1081.994
2020-12-19,1081.702
2022-01-02,1081.251
2020-11-07,1080.891
2022-01-09,1079.736
2020-11-06,1078.922
2022-01-16,1071.916
2021-12-26,1064.499
2021-05-10,1062.637
2021-02-27,1062.118
2021-03-02,1052.901
2020-11-05,1048.303
2021-12-09,1045.494
2021-12-08,1045.319
2021-05-11,1044.840
