COUNTRY,AVG_ICU_BURDEN
Algeria,0.448450243
Australia,2.764559020
Ireland,3.587373737
Finland,4.667050743
Denmark,4.765784232
Malta,5.144574359
Japan,5.702512315
South Korea,5.930924015
Malaysia,6.007078898
Scotland,6.606461203
Bolivia,6.742679389
Canada,7.806921016
Northern Ireland,8.842862200
Wales,9.185640234
Netherlands,9.206288977
England,10.430939394
Sweden,10.554639015
Estonia,10.912729032
Italy,11.773026429
Serbia,12.052199330
Israel,12.495990807
United Kingdom,13.338967990
South Africa,13.417978236
Switzerland,15.134816489
Luxembourg,15.154800177
Cyprus,16.942863081
Portugal,17.991632680
Lithuania,18.092550085
Austria,19.193589376
Czechia,20.634022140
Latvia,20.955496689
Germany,21.245546064
Romania,21.793280000
Spain,22.300893780
United States,22.771458364
Slovakia,23.937047877
Belgium,24.601600496
Bulgaria,29.157304813
France,30.178860234
Slovenia,30.891535363
Chile,40.587358974
Argentina,64.481734158
